Site_Number,Location_Description,Site_Type
2780,BUCKLEY NR PHW,FLASH PX
4196,BUCKLEY/COOPER/FAWKNER,INT
3047,BUCKLEY/DICKSON,INT
2719,BUCKLEY/HOFFMANS,INT
4233,BUCKLEY/NICHOLSON,INT
4235,BUCKLEY/VICTORIA,INT
4198,BUCKLEY/WAVERLEY/LINCOLN,INT
4198,BUCKLEY/WAVERLEY/LINCOLN,INT
3521,BULLA NR CARNARVON,FLASH PX
3516,BULLA ROAD NR HOLYROOD,POS
1214,BULLA/SOMERTON(GREEN ST),RBT MTR
1007,BULLA/TULLAMARINE FWY EB ON/OFF RAMP,INT
1012,BULLA/WOODLAND,INT
4054,BULLEEN NR HILLVIEW,INT
4055,BULLEEN NR LEONIS,POS
1151,BURGUNDY NR CAPE,POS
3071,BURGUNDY/CAPE,INT
3070,BURGUNDY/HAWDON,INT
3090,BURGUNDY/MOUNT,INT
3072,BURGUNDY/ROSANNA/LWR H'BERG,INT
3317,BURGUNDY/STUDLEY/STRADBROKE,INT
3846,BURKE NR BEAVER,POS
4039,BURKE NR BURKE AVE (RIVERSDALE),POS
4041,BURKE NR CAMPBELL,POS
4431,BURKE NR CARROLL,POS
3821,BURKE NR COOKSON,POS
3826,BURKE NR GORDON,POS
3884,BURKE NR KARDELLA,POS
4031,BURKE NR KEW HIGH SCHOOL,POS
2034,BURKE NR PINE,POS
3845,BURKE NR RANFURLIE,POS
4037,BURKE NR TORRINGTON,POS
4033,BURKE NR TREGARRON,POS
1257,BURKE RD NTH BTW KEAM AND MACKENNEL,POS
4035,BURKE/BARKERS/MONT ALBERT,INT
4032,BURKE/BELMORE/HARP,INT
1031,BURKE/BURWOOD,INT
4040,BURKE/CAMBERWELL/RIVERSDALE,INT
3120,BURKE/CANTERBURY,INT
4369,BURKE/CARROLL/WILLS,INT
6614,BURKE/COLEMAN,INT
4034,BURKE/COTHAM/WHITEHORSE,INT
4030,BURKE/DONCASTER/KILBY/HIGH,INT
4038,BURKE/HAROLD/PROSPECT HILL,INT
4307,BURKE/MCARTHUR,INT
3977,BURKE/MONT ALBERT,INT
2826,BURKE/OLD BURKE/BOULEVARD,INT
4042,BURKE/PLEASANT/SEYMOUR,INT
4043,BURKE/TOORAK,INT
4368,BURKE/WATTLETREE,INT
4346,BURKE/WAVERLEY,INT
4153,BURNLEY NR BOYD,POS
3863,BURNLEY NR KENT,POS
4150,BURNLEY/BARKLY,INT
3656,BURNLEY/HIGHETT,INT
3657,BURNLEY/MURPHY,INT
3878,BURNLEY/NORTHERN ACCESS RD,INT
167,BURWOOD HWY NR BENWERRIN,POS
579,BURWOOD HWY NR CROW,POS
578,BURWOOD HWY NR HIGHVIEW,POS
825,BURWOOD HWY NR KELVIN,POS
100,BURWOOD HWY NR LIVINGSTONE,INT
2002,BURWOOD HWY NR MILLICENT,POS
2020,BURWOOD HWY NR MILPERA,POS
2003,BURWOOD HWY NR PLC,POS
2003,BURWOOD HWY NR PLC,POS
103,BURWOOD HWY NR REYNOLDS,POS
163,BURWOOD HWY NR SEVEN OAKS,INT
2007,BURWOOD HWY NR STARLING,POS
2007,BURWOOD HWY NR STARLING,POS
181,BURWOOD HWY NR WILLOW,POS
162,BURWOOD HWY/BLACKBURN,INT
179,BURWOOD HWY/BRENOCK PARK/SELMAN,INT
2018,BURWOOD HWY/BUNNINGS,INT
182,BURWOOD HWY/DAWSON,INT
