Site_Number,Location_Description,Site_Type
1009,EPSOM/FLEMINGTON RACECOURSE ENT,INT
1002,EPSOM/LANGS,INT
1010,EPSOM/UNION,INT
760,ERAMOSA NR FRANK-FLINDERS,FLASH PX
3869,ERIN NR NORMANBY,POS
4498,ERROL/QUEENSBERRY,INT
3256,ESPLANADE BTW PIER/BENT,FLASH PX
4973,EVANS NR STATION,FLASH PX
3246,EVANS/BROOK,INT
4979,EXFORD NR STAUGHTON,INT
4980,EXFORD RD NR MORSHEAD,POS
4568,EXHIBITION/FLINDERS LANE,INT
4560,EXHIBITION/FLINDERS ST,INT
2919,EXHIBITION/LATROBE,INT
4603,EXHIBITION/LITTLE BOURKE,INT
4586,EXHIBITION/LITTLE COLLINS,INT
2911,EXHIBITION/LITTLE LONSDALE,INT
2902,EXHIBITION/LONSDALE,INT
2700,FAIRBAIRN NR TALLINTYRE,POS
2694,FAIRBAIRN/INDUSTRIAL/NORTHERN ACCESS,INT
3948,FAIRBANK NR FURY,INT
4706,FAIRBANK NR MONASH CRES,POS
1034,FARADAY/DRUMMOND,INT
3437,FARNSWORTH/MEYERS,INT
5225,FELLMONGERS NR HITCHCOCK,POS
5195,FENWICK/GORDON/RAILWAY,INT
3525,FERGUSON BTW LYONS/BATH,FLASH PX
4969,FERGUSON NR CECIL,FLASH PX
377,FERNTREE GULLY / ENT BUNNINGS (KNOX),INT
452,FERNTREE GULLY NR AVONHURST,POS
446,FERNTREE GULLY NR HOWLEYS,POS
1185,FERNTREE GULLY NR KATHRYN,POS
4714,FERNTREE GULLY NR MACRINA,POS
451,FERNTREE GULLY/BLACKBURN,INT
378,FERNTREE GULLY/BORG,POS
450,FERNTREE GULLY/BRANDON PK,INT
796,FERNTREE GULLY/CARIBBEAN/NYADALE,INT
4715,FERNTREE GULLY/CLAYTON/STEPH,INT
4716,FERNTREE GULLY/FORSTER/GARDN,INT
3725,FERNTREE GULLY/GILBY,INT
384,FERNTREE GULLY/HENDERSON/DAIRY ENTRANCE,INT
3280,FERNTREE GULLY/HUNTINGDALE,INT
455,FERNTREE GULLY/JELLS,INT
449,FERNTREE GULLY/LUM,INT
765,FERNTREE GULLY/LYNTON/JANINE,INT
457,FERNTREE GULLY/MOUNTAIN GATE,INT
459,FERNTREE GULLY/SCORESBY,INT
456,FERNTREE GULLY/STUD,INT
454,FERNTREE GULLY/WATSONS/STRADA,INT
827,FERNTREE GULLY/WINDERMERE,INT
4907,FERRARS NR BRIDPORT,POS
3537,FERRARS NR COVENTRY,POS
6413,FIREBRACE/ROBERTS,INT
2577,FITZGERALD/ALLISON/DAVID,INT
4989,FITZGERALD/FEDERATION TRAIL,POS
5258,FITZGERALD/GILBERTSON,INT
2581,FITZGERALD/WRR IB RAMP,INT
5002,FITZGERALDS/LEAKES/KOROROIT CREEK,INT
4833,FITZROY NR PARK,POS
3428,FITZROY/ACLAND,INT
3016,FITZROY/JACKA/ESPLANADE,INT
4832,FITZROY/PRINCES/LAKESIDE,INT
725,FITZSIMONS NR PORTER,POS
4464,FLEMINGTON NR CHILDREN'S HOS,POS
4462,FLEMINGTON NR MELROSE,POS
4468,FLEMINGTON NR PARK DR,POS
4456,FLEMINGTON RD/VILLIERS (ROYAL MELB HOSP),INT
4463,FLEMINGTON/ABBOTSFORD,INT
4460,FLEMINGTON/CHURCH,INT
4465,FLEMINGTON/GATEHOUSE/HARKER,INT
4466,FLEMINGTON/GRATTAN/WRECKYN,INT
4461,FLEMINGTON/RACECOURSE/ELLIOT,INT
1178,FLEMINGTON/RC-HOSPITAL ENTRANCE,INT
387,FLETCHER NR BEACH,POS
748,FLETCHER/BEACH/RAILWAY,INT
4525,FLINDERS EXT/WORLD TRADE CENTRE ACCESS,POS
2950,FLINDERS LANE nr KING ST,FLASH PX
3410,FLINDERS LANE/MARKET,INT
4565,FLINDERS/MARKET,INT
2931,FLINDERS/WELLINGTON PDE STH,INT
3716,FLORENCE NR BAKERY LANE,FLASH PX
1219,FOLEYS/LENNON PARKWAY/CENTRAL PARK BVD,INT
697,FOOTE NR ELSA,POS
681,FOOTE/HIGH,INT
4374,FOOTSCRAY/APPLETON DOCK,INT
4378,FOOTSCRAY/FCL ACCESS,INT
4434,FOOTSCRAY/GATE E (NEW),INT
4458,FOOTSCRAY/GATE F (STA ENTRANCE NO.1),INT
3778,FOOTSCRAY/MARKET GATE 1.,INT
4376,FOOTSCRAY/MARKET GATE 2,INT
4375,FOOTSCRAY/MARKET GATE 4,INT
4377,FOOTSCRAY/SWANSON DOCK/DOCK LINK (COODE),INT
4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT
4373,FOOTSCRAY/WURUNDJERI/DOCKLANDS/HARBOUR,INT
380,FOREST NR ALPINE,FLASH PX
883,FOREST NR CONYERS,FLASH PX
385,FOREST NR DOYSAL,POS
3963,FORSTER/RICKETTS/HARDNER,INT
1174,FORSYTH / FEDERATION BLVD,INT
253,FOSTER/ENT CAPITAL CENTRE,INT
673,FOSTER/ROBINSON,INT
3432,FRANCIS NR BALLARAT,POS
4255,FRANCIS/STEPHEN,INT
4254,FRANCIS/WEMBLEY,INT
3438,FRANCIS/WHITEHALL,INT
734,FRANK-DAND NR BAWDEN,POS
1028,FRANK-DANDY/KIRKHAM,INT
758,FRANK-FLIND NR ERAMOSA,FLASH PX
737,FRANK-FLIND/GOLF LINK/TOWERHILL,INT
738,FRANK-FLIND/MCMAHONS(MOOROODUC/DAVEY),INT
6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX
4509,FRANKLIN NR QUEEN,FLASH PX
3966,FRANKLIN NR QUEEN,FLASH PX
1059,FRANKLIN/PEEL/WILLIAM,INT
545,FRANKSTON FWY/SKYE,INT
522,FRANKSTON-CRANBOURNE RD/ BROOKLAND GREEN,INT
2687,FRANKSTON-CRANBOURNE/BEACH,INT
304,FRANKSTON-DANDENONG/ABBOTTS,INT
1171,FRANKSTON-DANDENONG/COLEMAN,INT
275,FRANKSTON-DANDENONG/FRANKSTON FWY RAMPS,INT
275,FRANKSTON-DANDENONG/FRANKSTON FWY RAMPS,INT
275,FRANKSTON-DANDENONG/FRANKSTON FWY RAMPS,INT
664,FRANKSTON-DANDENONG/GREENS,INT
982,FRANKSTON-DANDENONG/JAYCO,INT
729,FRANKSTON-DANDENONG/KLAUER,INT
752,FRANKSTON-DANDENONG/LATHAMS/HALL,INT
749,FRANKSTON-DANDENONG/O'GRADYS,INT
733,FRANKSTON-DANDENONG/SEAFORD/BALLARTO,INT
735,FRANKSTON-DANDENONG/SKYE/OVERTON/WELLS,INT
735,FRANKSTON-DANDENONG/SKYE/OVERTON/WELLS,INT
620,FRANKSTON-DANDENONG/THOMPSONS,RBT MTR
531,FRANKSTON-FLINDERS/MORNINGTON-TYABB,INT
821,FRANKSTON-FLINDERS/STONY POINT,INT
2786,FRENCH/BARKLY,INT
802,FULHAM NR PEPPER TREE HILL,INT
2723,FULLARTON/MOORNA/CALDER FWY,INT
3670,FURLONG NR BOND,POS
2670,FURLONG NR CAMPERDOWN,POS
2671,FURLONG NR FORD,POS
2675,FURLONG/BROWNE,INT
2674,FURLONG/CAIRNLEA,INT
4935,FURLONG/ST ALBANS,INT
4776,FURLONG/SUNSHINE HOSPITAL ENT,INT
5200,FYANS/SWANSTON,INT
5189,FYANS/YARRA,INT
3892,GAFFNEY NR BATMAN,POS
4113,GAFFNEY NR LANDELLS,POS
4136,GAFFNEY NR MOLESWORTH,POS
4112,GAFFNEY/CUMBERLAND,INT
3769,GAFFNEY/DAWSON,INT
4114,GAFFNEY/DERBY,INT
462,GALLAGHERS NR TOWNSEND,POS
3249,GAP/HORNE (WEST SIDE HORNE),FLASH PX
5071,GARDEN/MCKILLOP,INT
5132,GEELONG BYPASS/ANAKIE INTERCHANGE,INT
5132,GEELONG BYPASS/ANAKIE INTERCHANGE,INT
5132,GEELONG BYPASS/ANAKIE INTERCHANGE,INT
5132,GEELONG BYPASS/ANAKIE INTERCHANGE,INT
5134,GEELONG BYPASS/BACCHUS MARSH,INT
5134,GEELONG BYPASS/BACCHUS MARSH,INT
5134,GEELONG BYPASS/BACCHUS MARSH,INT
5134,GEELONG BYPASS/BACCHUS MARSH,INT
5142,GEELONG RING RD/BARRABOOL RD,INT
5142,GEELONG RING RD/BARRABOOL RD,INT
5153,GEELONG/PORTARLINGTON ROAD NEAR HERMSLEY,POS
5153,GEELONG/PORTARLINGTON ROAD NEAR HERMSLEY,POS
5121,GEELONG-PORTARLINGTON NR EVERSLEY,POS
5116,GEELONG-PORTARLINGTON/CHRISTIES,INT
5116,GEELONG-PORTARLINGTON/CHRISTIES,INT
5213,GEELONG-PORTARLINGTON/POINT HENRY,INT
5213,GEELONG-PORTARLINGTON/POINT HENRY,INT
5051,GEELONG-PT'TON/RYIE/BOUNDARY,INT
5051,GEELONG-PT'TON/RYIE/BOUNDARY,INT
341,GEORGE NR DEHNERT,POS
6639,GEORGE NR MOORE,FLASH PX
805,GEORGE/CHURCH,INT
1076,GEORGIANA/WURUNDJERI,INT
4222,GERTRUDE NR NAPIER,POS
4144,GERTRUDE/LANGRIDGE/SMITH,INT
5039,GHERINGHAP/MALOP/MERCER,INT
5039,GHERINGHAP/MALOP/MERCER,INT
5039,GHERINGHAP/MALOP/MERCER,INT
5039,GHERINGHAP/MALOP/MERCER,INT
5039,GHERINGHAP/MALOP/MERCER,INT
5039,GHERINGHAP/MALOP/MERCER,INT
5074,GHERINGHAP/MCKILLOP,INT
3873,GILBERT NR JACKA,POS
4785,GILBERT NR LOCKSLEY,POS
3872,GILBERT NR MILLER,POS
4798,GILBERT NR OAKOVER,POS
4788,GILBERT/CRAMER,INT
4787,GILBERT/MURRAY,INT
4786,GILBERT/REGENT,INT
5829,GILLIES ST NR NORMAN ST,POS
5837,GILLIES/ LAKE GARDENS AVE,INT
5828,GILLIES/WINTER,INT
6306,GISBORNE-KILMORE NR SUNBURY-RIDDELLS,FLASH PX
5799,GISBOURNE NR LERDERDERG,POS
969,GLADESTONE/PERKIN/GATEWAY,INT
653,GLADSTONE NR GLADSVILLE,POS
643,GLADSTONE NR JANICE,POS
951,GLADSTONE NR MURRAY,POS
654,GLADSTONE NR O'MALLEYS,POS
4047,GLADSTONE NR PRATT,POS
2855,GLADSTONE PARK NR BELMONT,FLASH PX
490,GLADSTONE RD/HALTON RD,INT
676,GLADSTONE/BRADY,INT
5986,GLADSTONE/INKERMAN/PEKIN,INT
808,GLADSTONE/OUTLOOK,INT
1204,GLEN EIRA NR QUAT QUATTA AVE,POS
4108,GLEN EIRA NR ST GEORGES,POS
4079,GLEN EIRA/KOOYONG,INT
1030,GLEN IRIS NR FERNDALE PARK,POS
3814,GLEN IRIS NR KERFERD,POS
5952,GLENELG HWY NR BELL,POS
5830,GLENELG HWY NR STURT STREET,POS
5950,GLENELG HWY(DOVETON)/DANA,INT
5951,GLENELG HWY(DOVETON)/EYRE,INT
5959,GLENELG HWY/ALFRED,INT
5942,GLENELG HWY/COX ST/FRENCH ST (HAMILTON),INT
5958,GLENELG HWY/LEITH,INT
4284,GLENFERRIE / WAKEFIELD,INT
3842,GLENFERRIE NR EDSALL,POS
4330,GLENFERRIE NR FITZWILLIAM,POS
2485,GLENFERRIE NR GARDINER,POS
2484,GLENFERRIE NR JOHNSON,FLASH PX
3841,GLENFERRIE NR KOOYONG STN,POS
4274,GLENFERRIE NR URQUHART,POS
4275,GLENFERRIE/CALLANTINA,INT
3850,GLENFERRIE/EVANDALE,INT
4270,GLENFERRIE/RIVERSDALE,INT
4356,GLENFERRIE/TOORAK,INT
4365,GLENFERRIE/WATTLETREE,INT
4328,GLENFERRIE/WELLINGTON,INT
2673,GLENGALA BTN SIMMIE & OLDFIELD,FLASH PX
2699,GLENGALA NR DINNELL,POS
2622,GLENGALA NR SIMMIE,POS
4839,GLENHUNTLY NR BROADWAY,FLASH PX
4109,GLENHUNTLY NR CARRE,POS
4090,GLENHUNTLY NR CEDAR,POS
4087,GLENHUNTLY NR GORDON,POS
2742,GLENHUNTLY NR MANCHESTER,POS
1232,"GLENHUNTLY RD , WEST OF BROADWAY",FLASH PX
4092,GLENHUNTLY/BAMBRA,INT
4093,GLENHUNTLY/BOORAN,INT
3291,GLENHUNTLY/GRANGE/WATSON,INT
4089,GLENHUNTLY/KOOYONG,INT
4088,GLENHUNTLY/ORRONG,INT
4106,GLENHUNTLY/TRUGANINI,INT
4026,GLENLYON NR GARDEN,POS
3988,GLENROY/WHEATSHEAF/HART'TON,INT
6260,GOLDEN SQUARE-LONG GULLY/SYMONDS,INT
2781,GORDON / EDGEWATER / MITCHELL,INT
4241,GORDON NR SHEPHERD,POS
6090,GOULBURN VALLEY HWY NR GUTHRIE,POS
6048,GOULBURN VALLEY HWY NR PRENTICE,POS
6048,GOULBURN VALLEY HWY NR PRENTICE,POS
6074,GOULBURN VALLEY HWY/KIALLA LAKES,INT
6074,GOULBURN VALLEY HWY/KIALLA LAKES,INT
6088,GOULBURN VALLEY HWY/SOBRAON,INT
6077,GOULBURN VALLEY/NIXON         SHEPPARTON,INT
6072,GOULBURN VLY HWY NR GRANT,POS
6071,GOULBURN VLY HWY NR MADELINE,POS
6071,GOULBURN VLY HWY NR MADELINE,POS
6089,GOULBURN VLY HWY/WILMOT/LONGSTAFF,INT
6076,GOULBURN VLY NR  NIXON        SHEPPARTON,FIRE W/W
6086,GOULBURN VLY/BALACLAVA        SHEPPARTON,INT
6083,GOULBURN VLY/FRYERS           SHEPPARTON,INT
6085,GOULBURN VLY/KNIGHT           SHEPPARTON,INT
6082,GOULBURN VLY/MIDLAND(HIGH),INT
2582,GOURLAY NR COMMUNITY HUB,POS
2548,GOURLAY/HUME DRIVE,INT
3713,GOVERNOR NR CHUTE,POS
4728,GRAHAM NR CLARKE,POS
4952,GRAHAM ST STH/WRIGHT/ANDERSON RD,INT
4727,GRAHAM/PICKLES,INT
3755,GRAHAM/PLUMMER,INT
3293,GRANGE BTW GARDEN/WATTLE,POS
3318,GRANGE NR EVANS,POS
4667,GRANGE/DAREBIN,INT
3290,GRANGE/NEERIM,INT
4671,GRANGE/SEPARATION,INT
4653,GRANGE/WINGROVE,INT
5831,GRANT NR PILMER,POS
3780,GRANTHAM NR UNION,POS
4161,GRATTAN ST NR BERKELEY ST,POS
4425,GRATTAN/BOUVERIE,INT
4395,GRATTAN/CARDIGAN,INT
1029,GRATTAN/DRUMMOND,INT
4396,GRATTAN/LYGON,INT
4394,GRATTAN/MELBOURNE UNIVERSITY,INT
4386,GRATTAN/ROYAL,INT
4391,GRATTAN/SWANSTON,INT
5941,GRAY ST NR BROWN ST,FLASH PX
5124,Great Ocean Rd Nr Mc Laren Pde,FLASH PX
5232,GREAT OCEAN RD/DUFFIELDS RD,INT
5122,GREAT OCEAN ROAD nr HARDY,FLASH PX
5199,GREAT OCEAN/HOYLAKE,INT
2736,GREEN GULLY(ST ALBANS)/DRISCOLLS,INT
2722,GREEN GULLY(ST ALBANS)/SUNSHINE/TAYLORS,INT
1240,GREENS RD/KEY DVE,INT
1113,GREENS/EASTLINK,INT
1113,GREENS/EASTLINK,INT
754,GREENS/KITCHEN,INT
727,GREENS/LANYON,INT
595,GREENS/SOUTH PARK DEVELOPMENT ACCESS,INT
3912,GREENSBOROUGH BYPASS/ELDER,INT
3341,GREENSBOROUGH BYPASS/WATSONIA,INT
3357,GREENSBOROUGH HWY/METROPOLITAN RING RD,INT
3357,GREENSBOROUGH HWY/METROPOLITAN RING RD,INT
3350,GREENSBOROUGH/ERSKINE,INT
3333,GREENSBOROUGH/LWR PLENTY,INT
3340,GREENSBOROUGH/YALLAMBIE,INT
4175,GREENWOOD NR MAPLE,POS
6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX
4840,GREY NR ROBE,POS
4060,GREYTHORN NR YENEDA,POS
3913,GRIEVE/DOHERTYS,RBT MTR
3907,GRIEVE/PINNACLE/TOYOTA ENT GATE 7,INT
3910,GRIEVE/TARAS,INT
3906,GRIEVE/THE GATEWAY,INT
3908,GRIEVE/TOYOTA ENT GATE 4,INT
4170,GRIMSHAW NR BALAKA,POS
4178,GRIMSHAW NR DENDARYL,POS
4182,GRIMSHAW NR JESSOP,FIRE W/W
4171,GRIMSHAW NR PATRICIA,POS
3909,GRIMSHAW/CHURCH,INT
4188,GRIMSHAW/CONCORDE,INT
3344,GRIMSHAW/GREENSBOROUGH,INT
4187,GRIMSHAW/GREENSBOROUGH BYPASS,INT
3345,GRIMSHAW/HENRY/CIRCUIT,INT
3911,GRIMSHAW/MAIN,INT
4172,GRIMSHAW/WATSONIA/MACORNA,INT
5138,GRR/HAMILTON HWY,INT
5138,GRR/HAMILTON HWY,INT
5143,GRR/PRINCES/ROSSACK,INT
5608,GUTHRIDGE NR STEAD,POS
6081,GVH/PINE/BRAUMAN,INT
6138,GVH/RIVERVIEW,INT
617,HALL/CADLES,INT
559,HALLAM NR SOMERVILLE,POS
557,HALLAM NTH/BELGRAVE-HALLAM,INT
558,HALLAM NTH/JAMES COOK,INT
975,HALLAM SOUTH NR HALLAM STATION,POS
992,HALLAM SOUTH/KEPPEL/EMPIRE,INT
1148,HALLAM STH BTW WILLOW & CENTRE,POS
303,HALLAM/CORAL/FORDHOLM,INT
1208,HALLAM/ORMOND,INT
400,HALLAM/POUND,INT
5308,HAMILTON(ABERDEEN)/MINERVA,INT
665,HAMMOND/GREENS,INT
655,HAMMOND/KIRKHAM,INT
667,HAMMOND/WEBSTER,INT
2648,HAMPSHIRE NR HARVESTER,FLASH PX
4433,HAMPSHIRE NR SERVICE,POS
4957,HAMPSHIRE/DERBY,INT
4960,HAMPSHIRE/HERTFORD,INT
4953,HAMPSHIRE/WRIGHT,INT
2707,HAMPSTEAD NR KEITH,POS
4937,HAMPSTEAD/MITCHELL/OMAR,INT
4936,HAMPSTEAD/WESTS/WILLIAMSON,INT
4860,HAMPTON NR HOLYROOD,POS
4867,HAMPTON NR THOMAS,POS
3958,HAMPTON NR WERE,POS
3568,HAMPTON/DURRANT/CLUDEN,INT
4861,HAMPTON/WILLIS,INT
4713,HANOVER NR PORTMAN           C,FLASH PX
1067,HARBOUR ESP NR LATROBE,POS
1068,HARBOUR ESP/COMTECHPORT ENT,INT
1066,HARBOUR ESP/LATROBE,INT
4372,HARBOUR/BOURKE/PIGOTT,INT
7215,HARE NR PAKENHAM,TMP POS
6319,HARE NR PAKENHAM,POS
1223,HARVESTER/SUNSHINE MARKETPLACE SHOPPING,INT
4707,HAUGHTON NR JOHNSON,POS
6096,HAWDON NR REA                 SHEPPARTON,POS
1155,HAWTHORN NR AUTUMN,POS
3961,HAWTHORN NR CHARLES,POS
3962,HAWTHORN NR CLIVE,POS
4097,HAWTHORN NR ELLINGTON,POS
4080,HAWTHORN/GLEN EIRA,INT
4091,HAWTHORN/GLENHUNTLY,INT
4072,HAWTHORN/INKERMAN,INT
3546,HAWTHORN/UNION,INT
546,HEATHERDALE NR RAIL STATION,POS
1239,HEATHERHILL NR HILLCREST,FLASH PX
940,HEATHERTON NR COOPER,POS
3108,HEATHERTON NR JAMES COOK,POS
1180,HEATHERTON NR LIEGE,POS
938,HEATHERTON NR MEMORIAL,POS
519,HEATHERTON/BELGRAVE-HALLAM,INT
959,HEATHERTON/BOYD/CLEELAND,INT
656,HEATHERTON/CHANDLER,INT
929,HEATHERTON/CORRIGAN,INT
1235,HEATHERTON/DOUGLAS/LIGHTWOOD,RBT MTR
657,HEATHERTON/GLADSTONE,INT
613,HEATHERTON/HANNA/FAWKNER,INT
663,HEATHERTON/JAMES,INT
930,HEATHERTON/KELVINSIDE,INT
3212,HEATHERTON/KINGSTON/CLAYTON/BOUNDARY RD,INT
1181,HEATHERTON/LINK,INT
607,HEATHERTON/MATTHEW FLINDERS,INT
605,HEATHERTON/POWER,INT
947,HEATHERTON/SPRINGVALE PLAZA,INT
279,HEATHERTON/TOOTAL,INT
976,HEATHERTON/VIEW,INT
932,HEATHERTON/WESTALL,INT
5244,HEATHS/MOSSFIEL,INT
5269,HEATHS/ROSELLA,INT
5239,HEATHS/WERRIBEE PLAZA,INT
5237,HEATHS/WERRIBEE PLAZA REGIONAL S.C. ENT.,INT
3310,HEIDELBERG NR MERTON,POS
3299,HEIDELBERG NR THE ESPLANADE,POS
3307,HEIDELBERG NR YARRAFORD,POS
3308,HEIDELBERG/CHANDLER/GRANGE,INT
3304,HEIDELBERG/FENWICK,INT
3311,HEIDELBERG/LWR HEIDELBERG/UPP HEIDELBERG,INT
3306,HEIDELBERG/STATION,INT
1150,HEIDELBERG/WESTGARTH,INT
3305,HEIDELBERG/YARRA BEND/JEFFREY,INT
3305,HEIDELBERG/YARRA BEND/JEFFREY,INT
3309,HEIDELBERG/YARRALEA,INT
3356,HEIDELBERG-KINGLAKE NR THE PARKWAY,POS
956,HEMMINGS NR WILMA,FLASH PX
1212,HENRY/VILLAGE WAY/CAVERSHAM,INT
6826,HENTY HWY NR FAWTHROP,POS
6261,HIGH (CALDER HWY)/DON (CALDER)/MYRTLE,INT
6207,HIGH (MCIVOR HWY)/SHORT,INT
4736,HIGH / EPPING PLAZA SHOPPING ACCESS 1,INT
1050,HIGH BTW CLYDE & GLOUCESTER,POS
3226,HIGH NR BARTON,POS
3818,HIGH NR CAROOL,POS
4767,HIGH NR CHEEL,POS
4336,HIGH NR CHILDERS,POS
3228,HIGH NR CHURCH,POS
2669,HIGH NR COBURNS,POS
3880,HIGH NR DAVID,POS
5063,HIGH NR DOROTHY,POS
4362,HIGH NR ERICA,POS
3227,HIGH NR GLASGOW,POS
4765,HIGH NR HIGHBURY,POS
3816,HIGH NR HIGHGATE,POS
3843,HIGH NR HUNTINGTOWER,POS
4322,HIGH NR KEW HIGH SCHOOL,POS
4657,HIGH NR LAWRY,POS
4677,HIGH NR MANSFIELD,POS
677,HIGH NR MAYFAIR,POS
4679,HIGH NR MITCHELL,POS
4358,HIGH NR NORTHBROOK,POS
3667,HIGH NR PAKINGTON,POS
2657,HIGH NR PALMERSTON & ALEXANDRA,POS
4359,HIGH NR PARK,POS
4320,HIGH NR PARK HILL,POS
4760,HIGH NR PERTH,POS
875,HIGH NR PINE,FLASH PX
1049,HIGH NR PINE (250M),FLASH PX
3235,HIGH NR QUEEN,POS
5061,HIGH NR ROSLYN,POS
3828,HIGH NR SEATON,POS
2965,HIGH NR SMITH,POS
4157,HIGH NR UNION,POS
762,HIGH NR VICTORIA & KING,FLASH PX
316,HIGH NR VILLAGE,POS
4361,HIGH NR VINCENT,POS
4155,HIGH NR WALKER,POS
4334,HIGH NR WALPOLE,POS
3817,HIGH NR WARD,POS
4680,HIGH NR WESTBOURNE,POS
4339,HIGH NR WESTBROOK,POS
4364,HIGH NR WILLS,POS
5935,HIGH ST NR ANSLOW ST,POS
2785,HIGH ST NR COULSTOCK,POS
5400,HIGH ST NR HAMILTON ST (BROADFORD),POS
496,HIGH ST RD NR ALVIE,POS
465,HIGH ST RD NR CHARLES,POS
467,HIGH ST RD NR HUNTER,POS
473,HIGH ST RD NR TECK,POS
365,HIGH ST RD/CAPITAL AVENUE,INT
361,HIGH ST RD/GALLAGHERS,INT
463,HIGH ST RD/HUNTINGDALE,INT
466,HIGH ST RD/LAWRENCE,INT
464,HIGH ST RD/STEPHENSONS,INT
460,HIGH ST RD/VANNAM/JORDAN,INT
469,HIGH ST RD/WESLEY COLLEGE,INT
5058,HIGH ST/BARWON HEADS/BARRABOOL,INT
4775,HIGH ST/BUNNINGS ACCESS RD,INT
209,HIGH ST/GLOUCESTER AVE,INT
3243,HIGH ST/RESERVOIR STATION ENTRY,INT
2042,HIGH ST/SUMMERHILL,INT
874,HIGH STREET NR BAYSWATER VILLAGE,FLASH PX
379,HIGH STREET RD NR FONTEYN,POS
383,HIGH STREET RD/CATHIES LANE NORTH,INT
383,HIGH STREET RD/CATHIES LANE NORTH,INT
448,HIGH STREET RD/SNEDDEN DR,INT
3777,HIGH STREET/COOPER,INT
1117,HIGH STREET/GEORGE,INT
6098,HIGH(MIDLAND)/NORTH,INT
3217,HIGH/ALLENBY,INT
3234,HIGH/AUSTARC,INT
2683,HIGH/BARRIES,INT
3224,HIGH/BROADHURST,INT
3225,HIGH/BROADWAY,INT
4363,HIGH/BURKE,INT
4762,HIGH/CHAPEL,INT
4335,HIGH/CHARLES,INT
3236,HIGH/CHILDS,INT
4681,HIGH/CLARKE,INT
4662,HIGH/DAREBIN,INT
3662,HIGH/DENMARK/PRINCESS/S'PARK,INT
4678,HIGH/DENNIS,INT
3820,HIGH/GLEN IRIS,INT
4357,HIGH/GLENFERRIE,INT
3221,HIGH/GOWER/CRAMER,INT
4321,HIGH/HARP/VALERIE,INT
4999,HIGH/HEYINGTON/SPRING,INT
4763,HIGH/HORNBY/BANGS,INT
3237,HIGH/KINGSWAY (see 3233),INT
4768,HIGH/KOOYONG,INT
706,HIGH/LYNNWOOD,INT
3229,HIGH/MAHONEYS/KEON,INT
3231,HIGH/MAIN,INT
678,HIGH/MANNINGHAM,INT
3232,HIGH/MANNS CROSSING,INT
2653,HIGH/MELTON VALLEY DVE,INT
2773,HIGH/MEMORIAL,INT
5059,HIGH/MT PLEASANT,INT
3222,HIGH/MURRAY,INT
2651,HIGH/O'NEILLS/STATION,INT
4766,HIGH/ORRONG,INT
2650,HIGH/PALMERSTON,INT
3233,HIGH/PASCHKE/KINGSWAY,INT
5060,HIGH/REGENT,INT
3223,HIGH/REGENT/TYLER,INT
5062,HIGH/ROSLYN/CORIO,INT
4669,HIGH/SEPARATION/ARTHURTON,INT
3230,HIGH/SETTLEMENT,INT
3740,HIGH/SPRING/CHEDDAR,INT
4761,HIGH/ST EDMONDS,INT
4329,HIGH/STEVENSON,INT
4360,HIGH/TOORONGA,INT
1080,HIGH/WARNER,INT
4682,HIGH/WESTGARTH,INT
4764,HIGH/WILLIAMS,INT
3214,HIGH/WOOD/SPENCER,INT
468,HIGHBURY NR FINCH,POS
3944,HIGHBURY NR HARRISON (FIRE STN),FIRE W/W
3942,HIGHBURY NR MONTPELLIER,POS
580,HIGHBURY NR NARMARA,POS
356,HIGHBURY/BLACKBURN,INT
3196,HIGHBURY/STEPHENSONS/MIDDLEB,INT
2056,HIGHETT NR GARDNER,FLASH PX
4827,HIGHETT NR GRIFFITHS,POS
3107,HIGHETT NR RAILWAY,POS
4871,HIGHETT NR SPRING,FLASH PX
4825,HIGHETT/LENNOX,INT
3388,HODDLE NR HOTHAM,POS
3374,HODDLE NR STANTON (NORTH BOUND),POS
3373,HODDLE NR STANTON (SOUTH BOUND),POS
3376,HODDLE NR STUDLEY (NORTHBOUND),POS
3375,HODDLE NR STUDLEY (SOUTH BOUND),POS
3386,HODDLE/ALBERT/ELIZABETH,INT
3389,HODDLE/FREEMAN,INT
3383,HODDLE/GIPPS,INT
3382,HODDLE/JOHNSTON,INT
3384,HODDLE/LANGRIDGE,INT
4140,HODDLE/QUEENS,INT
4146,HODDLE/RAMSDEN/NORTH TCE,INT
4145,HODDLE/ROSENEATH/SOUTH TCE,INT
3381,HODDLE/TRURO,INT
3385,HODDLE/VICTORIA,INT
3385,HODDLE/VICTORIA,INT
5216,HODGSON/ THE TERRACE,INT
4194,HOFFMANS NR SPENCER,POS
1149,HOGANS ROAD / DOWLING AVENUE,INT
5282,HOGANS/TARNEIT,INT
4213,HOLDEN NR DEAN,POS
6250,HOLDSWORTH/HOLMES/SANDHURST,INT
2026,HOLLAND AVE NR BURWOOD HWY,POS
4028,HOLMES NR DONALD,POS
6814,HOPKINS HWY NR HAYLEY,INT
4237,HOPKINS/IRVING/MOORE,INT
4247,HOPKINS/LEEDS,INT
4236,HOPKINS/WHITEHALL,INT
3250,HORNE NR CORNISH,POS
3248,HORNE/GAP (NORTH SIDE GAP),FLASH PX
